gender,department,department_name,division,assignment_category,employee_position_title,date_first_hired,year_first_hired
F,HHS,Department of Health and Human Services,Director's Office,Fulltime-Regular,Manager II,11/03/2003,2003
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,11/29/2004,2004
M,FRS,Fire and Rescue Services,Station 40,Fulltime-Regular,Firefighter/Rescuer II,01/14/2013,2013
F,FIN,Department of Finance,Division of Fiscal Management,Fulltime-Regular,Management and Budget Specialist III,11/28/1999,1999
M,DPS,Department of Permitting Services,Fire Code Compliance,Fulltime-Regular,Program Manager II,08/12/2013,2013
M,SHF,Sheriff's Office,Civil Process,Parttime-Regular,Office Clerk,11/02/2015,2015
F,HHS,Department of Health and Human Services,Adult Protective and Case Management Services,Fulltime-Regular,Social Worker III,12/15/2014,2014
M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer II,02/24/2014,2014
M,DLC,Department of Liquor Control,White Oak,Parttime-Regular,Liquor Store Clerk I,10/01/2008,2008
F,HHS,Department of Health and Human Services,Early Childhood Services,Fulltime-Regular,Principal Administrative Aide,07/30/2012,2012
F,HHS,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Specialist III,08/29/2011,2011
M,DOT,Department of Transportation,Highway Administration,Fulltime-Regular,Executive Administrative Aide,07/30/2007,2007
M,FRS,Fire and Rescue Services,Station 18,Fulltime-Regular,Firefighter/Rescuer III,02/11/2002,2002
F,FIN,Department of Finance,General Accounting,Fulltime-Regular,Accountant/Auditor III,04/08/2013,2013
M,DTS,Department of Technology Services,ETSD Network Services,Fulltime-Regular,Information Technology Specialist I,08/24/1981,1981
M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer I,02/09/2015,2015
M,HHS,Department of Health and Human Services,STD and HIV Services,Fulltime-Regular,Public Health Advisor,03/06/2006,2006
F,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist I,09/19/2016,2016
F,FRS,Fire and Rescue Services,Station 14,Fulltime-Regular,Firefighter/Rescuer III,01/12/1998,1998
F,FRS,Fire and Rescue Services,Training,Fulltime-Regular,Office Services Coordinator,12/20/1993,1993
M,REC,Department of Recreation,Youth Development Youth Services,Fulltime-Regular,Recreation Specialist,12/03/2012,2012
M,DLC,Department of Liquor Control,Beer Delivery Operations,Fulltime-Regular,Truck Driver Helper/Warehouse Worker,09/20/2004,2004
F,CAT,County Attorney's Office,Support Services,Fulltime-Regular,Paralegal Specialist,08/15/1988,1988
M,LIB,Department of Public Libraries,Kensington Park Library,Fulltime-Regular,Library Assistant Supervisor,05/03/1997,1997
M,DGS,Department of General Services,Building Design and Construction,Fulltime-Regular,Manager III,12/18/1989,1989
F,HHS,Department of Health and Human Services,Abused Persons Program,Fulltime-Regular,Therapist II,04/12/2010,2010
F,FIN,Department of Finance,Accounts Payable,Fulltime-Regular,Manager III,07/23/2007,2007
M,COR,Correction and Rehabilitation,PTS Supervision,Fulltime-Regular,Correctional Officer III (Corporal),05/02/2005,2005
M,FRS,Fire and Rescue Services,Fire and Explosive Investigations,Fulltime-Regular,Fire/Rescue Captain,08/27/1990,1990
M,FRS,Fire and Rescue Services,Station 8,Fulltime-Regular,Master Firefighter/Rescuer,09/11/2000,2000
M,FRS,Fire and Rescue Services,Station 28,Fulltime-Regular,Firefighter/Rescuer III,01/14/2013,2013
M,FRS,Fire and Rescue Services,Station 22,Fulltime-Regular,Firefighter/Rescuer III,09/04/2007,2007
M,FRS,Fire and Rescue Services,Fifth Battalion - Administration,Fulltime-Regular,Fire/Rescue Lieutenant,01/30/2006,2006
F,DTS,Department of Technology Services,EASD Web and Mobile Applications,Fulltime-Regular,Senior Information Technology Specialist,08/21/2006,2006
M,DPS,Department of Permitting Services,"Team 3 Commercial Building, Life Safety, Structural and Accessibility",Fulltime-Regular,Manager III,04/22/2013,2013
F,CAT,County Attorney's Office,Support Services,Fulltime-Regular,Legal Secretary II,03/12/1984,1984
F,LIB,Department of Public Libraries,Marilyn J Praisner Library,Parttime-Regular,Library Associate II,03/21/1977,1977
F,HHS,Department of Health and Human Services,Nurse Monitoring,Fulltime-Regular,Nurse Manager,02/04/2008,2008
F,CAT,County Attorney's Office,Health and Human Services,Fulltime-Regular,Assistant County Attorney III,02/14/1994,1994
F,LIB,Department of Public Libraries,Rockville Library,Parttime-Regular,Library Associate II,03/17/1997,1997
F,HHS,Department of Health and Human Services,Area Health Centers,Fulltime-Regular,Office Services Coordinator,01/03/1995,1995
M,FRS,Fire and Rescue Services,Station 12,Fulltime-Regular,Firefighter/Rescuer III,01/14/2013,2013
F,HHS,Department of Health and Human Services,"Chief, Public Health",Fulltime-Regular,Executive Administrative Aide,01/13/1997,1997
M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer II,02/24/2014,2014
M,DLC,Department of Liquor Control,Flower Avenue,Fulltime-Regular,Liquor Store Assistant Manager,08/27/1996,1996
F,HHS,Department of Health and Human Services,Permanent Supportive Housing,Fulltime-Regular,Social Worker III,02/19/1991,1991
M,DOT,Department of Transportation,Transportation Management,Fulltime-Regular,Traffic Management Technician I,07/11/2016,2016
M,FRS,Fire and Rescue Services,Station 18,Fulltime-Regular,Firefighter/Rescuer III,03/17/2008,2008
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,10/31/2005,2005
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,10/16/2006,2006
F,DEP,Department of Environmental Protection,Environmental Planning and Policy Implementation,Fulltime-Regular,Program Manager I,06/01/2015,2015
M,FRS,Fire and Rescue Services,Station 12,Fulltime-Regular,Firefighter/Rescuer III,01/14/2013,2013
F,POL,Department of Police,PSB 3rd District Patrol,Parttime-Regular,Police Officer III,01/17/2006,2006
M,FRS,Fire and Rescue Services,Station 25,Fulltime-Regular,Firefighter/Rescuer II,03/10/2014,2014
F,REC,Department of Recreation,Finance/Payroll/Budget,Fulltime-Regular,Program Aide,03/24/2002,2002
M,DPS,Department of Permitting Services,Land Development Right-of-Way Plan Review,Fulltime-Regular,Senior Permitting Services Specialist,08/07/2006,2006
F,LIB,Department of Public Libraries,Quince Orchard Library,Fulltime-Regular,Library Assistant I,02/06/1996,1996
F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,10/18/1995,1995
F,HHS,Department of Health and Human Services,"Planning, Accountability and Customer Service",Fulltime-Regular,Program Manager II,03/07/2005,2005
F,DGS,Department of General Services,Building Design and Construction,Fulltime-Regular,Senior Architect,05/02/2005,2005
M,POL,Department of Police,PSB 5th District Community Action Team,Fulltime-Regular,Police Officer III,02/03/2003,2003
M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician II,02/25/2013,2013
M,POL,Department of Police,Field Services Bureau,Fulltime-Regular,Police Lieutenant,07/26/1993,1993
M,FRS,Fire and Rescue Services,Station 12,Fulltime-Regular,Firefighter/Rescuer III,10/09/2006,2006
M,DGS,Department of General Services,Central Duplicating,Fulltime-Regular,Printing Technician III,11/19/2012,2012
M,DGS,Department of General Services,Fleet Automotive Heavy Equipment,Fulltime-Regular,Mechanic Technician II,04/22/1985,1985
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,06/27/2016,2016
M,DGS,Department of General Services,Facilities Maintenance,Fulltime-Regular,Electrician II,09/12/1994,1994
M,POL,Department of Police,MSB Training and Education Division,Fulltime-Regular,Police Officer III,03/16/1998,1998
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,06/20/1988,1988
F,DOT,Department of Transportation,Transportation Planning and Design Section,Fulltime-Regular,Capital Projects Manager,03/06/1989,1989
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,06/20/1988,1988
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,01/05/2015,2015
M,DOT,Department of Transportation,Transportation Planning and Design Section,Fulltime-Regular,Manager III,01/14/2001,2001
M,POL,Department of Police,ISB Criminal Investigations Division Financial Crimes Section,Fulltime-Regular,Principal Administrative Aide,07/09/2001,2001
F,COR,Correction and Rehabilitation,PRRS Reentry Services and Programs,Fulltime-Regular,Correctional Specialist III,10/03/2016,2016
M,SHF,Sheriff's Office,Administration,Fulltime-Regular,Assistant Sheriff,06/16/1980,1980
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Transit Operations Supervisor,03/03/2003,2003
F,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,01/05/2015,2015
F,CUS,Community Use of Public Facilities,Scheduling Team,Fulltime-Regular,Program Specialist I,09/23/2002,2002
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,04/26/1999,1999
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,04/26/1999,1999
M,COR,Correction and Rehabilitation,DS MCDC Central Processing Unit,Fulltime-Regular,Correctional Officer II (PFC),03/31/2008,2008
F,HHS,Department of Health and Human Services,Victim Assistance and Sexual Assault Program,Parttime-Regular,Client Assistance Specialist,01/08/2007,2007
F,HHS,Department of Health and Human Services,Adult Foster Care - Project Home,Fulltime-Regular,Social Worker III,06/05/2000,2000
F,HHS,Department of Health and Human Services,Disease Control,Fulltime-Regular,Office Services Coordinator,07/31/1988,1988
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker IV,01/03/1995,1995
M,DGS,Department of General Services,Fleet Automotive Heavy Equipment,Fulltime-Regular,Mechanic Technician II,07/29/2001,2001
F,LIB,Department of Public Libraries,Marilyn J Praisner Library,Parttime-Regular,Library Assistant I,01/11/1988,1988
M,DEP,Department of Environmental Protection,Solid Waste Services Collection Operations,Fulltime-Regular,Program Specialist II,11/28/2004,2004
M,FRS,Fire and Rescue Services,Station 4,Fulltime-Regular,Master Firefighter/Rescuer,09/02/2008,2008
M,DEP,Department of Environmental Protection,Watershed Management Operations,Fulltime-Regular,Manager II,12/26/2006,2006
F,HHS,Department of Health and Human Services,Child Welfare Services,Parttime-Regular,Social Worker III,05/17/1993,1993
M,DLC,Department of Liquor Control,Beer Delivery Operations,Fulltime-Regular,Truck Driver/Warehouse Worker,10/23/1989,1989
M,POL,Department of Police,MSB Management and Budget Division,Fulltime-Regular,Manager II,03/18/1979,1979
F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,10/02/2000,2000
M,POL,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Officer III,07/16/2007,2007
M,CEX,Offices of the County Executive,County Executive's Office,Parttime-Regular,Special Assistant to County Executive,07/02/1973,1973
M,HHS,Department of Health and Human Services,Maternity Dental,Fulltime-Regular,Administrative Aide,11/20/2000,2000
F,REC,Department of Recreation,Countywide Programs,Fulltime-Regular,Office Services Coordinator,01/27/1986,1986
M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician II,09/05/1995,1995
F,POL,Department of Police,PSB 2nd District Educational Facilities Officers,Fulltime-Regular,Police Officer III,01/19/1999,1999
F,OHR,Office of Human Resources,Administrative Services Team,Fulltime-Regular,Manager III,07/02/2001,2001
M,DLC,Department of Liquor Control,Beer Delivery Operations,Fulltime-Regular,Work Force Leader II,04/16/2001,2001
M,POL,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Sergeant,12/08/1986,1986
F,REC,Department of Recreation,Countywide Programs Classes,Fulltime-Regular,Recreation Specialist,09/22/2003,2003
M,FRS,Fire and Rescue Services,Station 29,Fulltime-Regular,Firefighter/Rescuer III,09/04/2001,2001
M,DPS,Department of Permitting Services,Team 2 Residential Inspection,Fulltime-Regular,Permitting and Code Enforcement Inspector II,03/23/2015,2015
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker II,10/17/2016,2016
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker IV,10/21/2013,2013
F,HHS,Department of Health and Human Services,Service Coordination and Individual Support Services,Fulltime-Regular,Program Specialist II,09/12/2011,2011
M,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer II (PFC),12/02/2013,2013
F,POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer III,07/17/1989,1989
F,DTS,Department of Technology Services,COO Office - Management Services,Fulltime-Regular,Fiscal Assistant,10/03/2005,2005
F,HHS,Department of Health and Human Services,Permanent Supportive Housing,Fulltime-Regular,Social Worker III,04/18/2005,2005
F,REC,Department of Recreation,Neighborhood Senior Centers - Southern,Fulltime-Regular,Recreation Specialist,06/02/2014,2014
M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician II,02/04/2008,2008
M,FRS,Fire and Rescue Services,Station 31,Fulltime-Regular,Firefighter/Rescuer II,03/10/2014,2014
F,COR,Correction and Rehabilitation,DS MCCF Unit 2 Security,Fulltime-Regular,Correctional Officer II (PFC),07/27/2015,2015
M,FRS,Fire and Rescue Services,Station 8,Fulltime-Regular,Firefighter/Rescuer II,03/10/2014,2014
F,OMB,Office of Management and Budget,Capital Budget Management,Fulltime-Regular,Senior Management and Budget Specialist,06/17/2013,2013
M,COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,Fulltime-Regular,Correctional Officer II (PFC),07/12/2004,2004
F,LIB,Department of Public Libraries,Quince Orchard Library,Fulltime-Regular,Librarian II,06/04/2002,2002
M,DLC,Department of Liquor Control,Beer Warehouse Operations,Fulltime-Regular,Warehouse Equipment Operator,08/08/1988,1988
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker I,08/22/2016,2016
F,HHS,Department of Health and Human Services,Access to Behavioral Health Services,Fulltime-Regular,Therapist II,07/12/2004,2004
M,CCL,County Council,Council Members and Staff,Fulltime-Regular,Confidential Aide,09/10/2012,2012
M,FRS,Fire and Rescue Services,Training,Fulltime-Regular,Fire/Rescue Captain,02/17/1984,1984
F,COR,Correction and Rehabilitation,MSD Fiscal Services,Fulltime-Regular,Office Services Coordinator,08/12/1990,1990
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,11/26/2007,2007
F,COR,Correction and Rehabilitation,MSD Human Resources,Fulltime-Regular,Administrative Specialist II,05/07/2012,2012
M,DGS,Department of General Services,Fleet Automotive Heavy Equipment,Fulltime-Regular,Mechanic Technician II,03/03/2008,2008
M,FRS,Fire and Rescue Services,Station 30,Fulltime-Regular,Master Firefighter/Rescuer,11/16/1980,1980
M,DPS,Department of Permitting Services,"Team 4 Commercial Electrical, Mechanical and Fire Protection Systems",Fulltime-Regular,Permitting and Code Enforcement Inspector II,02/27/1995,1995
F,HHS,Department of Health and Human Services,Montgomery Cares,Fulltime-Regular,Administrative Specialist III,02/20/2001,2001
F,LIB,Department of Public Libraries,Davis Library,Fulltime-Regular,Library Assistant II,04/22/1990,1990
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Work Force Leader II,11/04/1987,1987
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Transit Coordinator,01/24/1994,1994
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,09/15/2002,2002
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator II,04/01/1985,1985
F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,02/28/1994,1994
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,02/14/2005,2005
F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,10/26/2009,2009
M,POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer II,01/28/2013,2013
F,LIB,Department of Public Libraries,Aspen Hill Library,Fulltime-Regular,Library Assistant I,06/29/1996,1996
M,LIB,Department of Public Libraries,Wheaton Library,Parttime-Regular,Library Desk Assistant,12/08/1998,1998
F,POL,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Officer III,07/12/2010,2010
M,REC,Department of Recreation,Germantown Community Recreation Center,Fulltime-Regular,Recreation Specialist,02/22/2004,2004
M,FRS,Fire and Rescue Services,Station 29,Fulltime-Regular,Master Firefighter/Rescuer,02/08/1999,1999
M,OCP,Office of Consumer Protection,Investigations,Fulltime-Regular,Investigator III,01/26/2015,2015
M,POL,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Officer III,06/13/1994,1994
M,HCA,Department of Housing and Community Affairs,Affordable Housing Programs,Fulltime-Regular,Senior Planning Specialist,05/05/2014,2014
F,COR,Correction and Rehabilitation,MSD Information Technology,Fulltime-Regular,Manager III,06/15/1987,1987
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Manager III,02/16/2004,2004
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,10/30/2006,2006
F,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,06/27/2016,2016
F,HHS,Department of Health and Human Services,Adult Protective Services - Nurse Assessment,Fulltime-Regular,Community Health Nurse II,10/17/2016,2016
M,FRS,Fire and Rescue Services,Station 3,Fulltime-Regular,Firefighter/Rescuer II,06/01/2010,2010
F,DLC,Department of Liquor Control,Cabin John,Fulltime-Regular,Liquor Store Clerk II,02/28/2002,2002
M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,03/02/2008,2008
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,11/10/2014,2014
M,HHS,Department of Health and Human Services,Environmental Health and Regulatory Services,Fulltime-Regular,Environmental Health Specialist III,04/12/2010,2010
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,05/26/2015,2015
M,PIO,Office of Public Information,MC311,Fulltime-Regular,Program Manager I,10/24/2011,2011
F,POL,Department of Police,FSB Animal Services Division,Parttime-Regular,Client Assistance Specialist,10/31/2016,2016
M,OHR,Office of Human Resources,Recruitment and Selection Division,Fulltime-Regular,Human Resources Specialist III,05/07/2001,2001
F,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,03/02/2008,2008
M,HHS,Department of Health and Human Services,Adult Protective and Case Management Services,Fulltime-Regular,Social Worker III,02/19/1992,1992
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,08/02/2010,2010
F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,09/03/2002,2002
M,FRS,Fire and Rescue Services,Station 21,Fulltime-Regular,Firefighter/Rescuer II,03/10/2014,2014
M,DOT,Department of Transportation,Transportation Construction Section,Fulltime-Regular,Highway Construction Field Supervisor,05/06/1991,1991
M,POL,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Officer III,02/12/2001,2001
M,POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer III,07/16/2007,2007
M,POL,Department of Police,MSB Training and Education Division,Fulltime-Regular,Police Officer Candidate,07/11/2016,2016
M,FRS,Fire and Rescue Services,Station 23,Fulltime-Regular,Master Firefighter/Rescuer,02/14/2000,2000
M,DEP,Department of Environmental Protection,Solid Waste Services Administration,Fulltime-Regular,Manager III,12/29/1997,1997
M,FRS,Fire and Rescue Services,Station 19,Fulltime-Regular,Master Firefighter/Rescuer,06/07/2004,2004
F,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Principal Administrative Aide,03/20/2000,2000
F,HHS,Department of Health and Human Services,Abused Persons Program,Fulltime-Regular,Supervisory Therapist,07/09/1990,1990
F,HHS,Department of Health and Human Services,Nursing Home Inspections,Fulltime-Regular,Community Health Nurse II,08/30/1993,1993
M,FRS,Fire and Rescue Services,Station 17,Fulltime-Regular,Firefighter/Rescuer III,02/27/2012,2012
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Work Force Leader II,03/05/1990,1990
M,FRS,Fire and Rescue Services,Station 14,Fulltime-Regular,Fire/Rescue Captain,11/03/1985,1985
M,DOT,Department of Transportation,Transit Management Services,Fulltime-Regular,Program Manager I,02/21/2006,2006
M,DPS,Department of Permitting Services,Land Development Well and Septic,Fulltime-Regular,Environmental Health Specialist III,06/28/2004,2004
M,REC,Department of Recreation,Neighborhood Senior Centers - Northern,Fulltime-Regular,Manager III,10/18/1982,1982
M,FRS,Fire and Rescue Services,Station 32,Fulltime-Regular,Master Firefighter/Rescuer,05/16/2005,2005
M,POL,Department of Police,FSB Traffic Division Alcohol Initiatives Section,Fulltime-Regular,Police Officer III,06/03/2002,2002
M,FRS,Fire and Rescue Services,Special Operations,Fulltime-Regular,Master Firefighter/Rescuer,02/01/1988,1988
F,FRS,Fire and Rescue Services,Internal Affairs,Fulltime-Regular,Office Services Coordinator,02/13/1995,1995
F,HHS,Department of Health and Human Services,Environmental Health and Regulatory Services,Fulltime-Regular,Program Manager II,12/12/1994,1994
M,FRS,Fire and Rescue Services,Station 18,Fulltime-Regular,Firefighter/Rescuer III,06/01/2010,2010
F,OHR,Office of Human Resources,Classification and Compensation Team,Parttime-Regular,Human Resources Specialist III,05/04/2006,2006
M,REC,Department of Recreation,Germantown Indoor Pool,Fulltime-Regular,Recreation Specialist,10/12/1997,1997
M,DPS,Department of Permitting Services,Fire Protection,Fulltime-Regular,Senior Permitting Services Specialist,02/24/2014,2014
M,CCL,County Council,Council Central Staff,Fulltime-Regular,Legislative Analyst II,10/07/2013,2013
F,HHS,Department of Health and Human Services,Behavioral Health Community Support Services,Fulltime-Regular,Community Services Aide III,05/01/2006,2006
F,LIB,Department of Public Libraries,Bethesda Library,Fulltime-Regular,Library Assistant I,03/15/1999,1999
F,CAT,County Attorney's Office,Finance and Procurement,Fulltime-Regular,Office Services Coordinator,02/10/2014,2014
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator II,12/19/1994,1994
M,COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,Fulltime-Regular,Correctional Officer II (PFC),04/20/2015,2015
F,HHS,Department of Health and Human Services,Aging and Disability Resource Unit,Fulltime-Regular,Client Assistance Specialist,03/17/1981,1981
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,01/08/2007,2007
M,FRS,Fire and Rescue Services,Station 15,Fulltime-Regular,Firefighter/Rescuer II,06/01/2010,2010
M,DPS,Department of Permitting Services,Land Development Right-of-Way Inspection,Fulltime-Regular,Permitting and Code Enforcement Inspector III,05/21/1990,1990
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Transit Operations Supervisor,09/10/1990,1990
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,01/17/1995,1995
M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Sergeant,12/02/2002,2002
F,POL,Department of Police,ISB Major Crimes Division Homicide and Sex Section,Fulltime-Regular,Police Officer III,09/29/1997,1997
F,COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Officer III (Corporal),11/29/1999,1999
M,FRS,Fire and Rescue Services,Station 10,Fulltime-Regular,Master Firefighter/Rescuer,11/17/1997,1997
F,HHS,Department of Health and Human Services,Area Agency on Aging Administration,Fulltime-Regular,Program Manager I,11/16/2015,2015
F,DGS,Department of General Services,Facilities,Fulltime-Regular,Office Services Coordinator,12/26/1989,1989
M,COR,Correction and Rehabilitation,DS MCDC Central Processing Unit,Fulltime-Regular,Correctional Supervisor (Sergeant),01/20/1998,1998
F,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist I,12/27/2016,2016
M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,08/11/2008,2008
M,POL,Department of Police,PSB 3rd District Station,Fulltime-Regular,Police District Station Assistant,09/15/1997,1997
F,DPS,Department of Permitting Services,Land Development Permit Processing,Fulltime-Regular,Permit Technician III,08/17/1983,1983
M,FRS,Fire and Rescue Services,Third Battalion - Administration,Fulltime-Regular,Fire/Rescue Lieutenant,12/13/2004,2004
M,FRS,Fire and Rescue Services,Station 6,Fulltime-Regular,Firefighter/Rescuer III,12/13/2004,2004
M,DTS,Department of Technology Services,ETSD Telephone Services,Fulltime-Regular,Telecommunications Specialist,02/21/1989,1989
F,POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer III,07/21/2003,2003
M,FRS,Fire and Rescue Services,First Battalion - Administration,Fulltime-Regular,Fire/Rescue Lieutenant,10/17/2005,2005
M,POL,Department of Police,MSB Training and Education Division,Fulltime-Regular,Police Officer Candidate,07/11/2016,2016
F,LIB,Department of Public Libraries,Silver Spring Library,Parttime-Regular,Library Associate,12/02/2013,2013
M,DLC,Department of Liquor Control,Liquor and Wine Delivery Operations,Fulltime-Regular,Truck Driver Helper/Warehouse Worker,09/30/2013,2013
M,FRS,Fire and Rescue Services,Station 25,Fulltime-Regular,Master Firefighter/Rescuer,09/04/2001,2001
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,08/13/1990,1990
M,COR,Correction and Rehabilitation,DS Gang Intelligence,Fulltime-Regular,Correctional Officer II (PFC),06/11/2001,2001
M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician II,01/18/2011,2011
F,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Services Assistant,11/13/2000,2000
F,FIN,Department of Finance,Accounts Payable,Fulltime-Regular,Senior Financial Specialist,10/19/2015,2015
F,HHS,Department of Health and Human Services,24 Hours Crisis Center,Parttime-Regular,Therapist II,07/06/2010,2010
F,HHS,Department of Health and Human Services,Infants and Toddlers,Fulltime-Regular,Program Aide,12/27/2016,2016
F,HHS,Department of Health and Human Services,Service Coordination and Individual Support Services,Fulltime-Regular,Program Specialist II,12/14/2015,2015
M,DOT,Department of Transportation,Traffic Engineering Studies Section,Fulltime-Regular,Engineer Technician II,06/29/2003,2003
M,DLC,Department of Liquor Control,Stock Liquor and Wine Warehouse Operations,Fulltime-Regular,Supply Technician II,02/28/1994,1994
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,06/27/2016,2016
F,POL,Department of Police,MSB Information Mgmt and Tech Division Records Management Section,Fulltime-Regular,Administrative Specialist II,10/01/1990,1990
F,LIB,Department of Public Libraries,Olney Library,Fulltime-Regular,Librarian II,11/18/2013,2013
F,POL,Department of Police,MSB Training and Education Division,Fulltime-Regular,Administrative Specialist I,05/01/2006,2006
F,LIB,Department of Public Libraries,Olney Library,Fulltime-Regular,Librarian I,02/09/1978,1978
M,CEX,Offices of the County Executive,Chief Administrative Officer's Office,Fulltime-Regular,Development Ombudsman,06/22/2015,2015
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator III,03/25/1985,1985
M,DOT,Department of Transportation,Highway Administration,Fulltime-Regular,Highway Inspector II,11/27/2006,2006
M,DLC,Department of Liquor Control,Administrative Services,Fulltime-Regular,Manager III,08/26/2013,2013
M,FRS,Fire and Rescue Services,Station 22,Fulltime-Regular,Firefighter/Rescuer II,07/29/2013,2013
M,REC,Department of Recreation,Aquatic Team Management,Fulltime-Regular,Senior Pool Manager,04/24/2011,2011
F,HHS,Department of Health and Human Services,Area Health Centers,Fulltime-Regular,Manager III,02/05/2001,2001
F,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,01/27/2014,2014
M,DLC,Department of Liquor Control,Darnestown,Parttime-Regular,Liquor Store Clerk I,04/14/2014,2014
